trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
554,False,"{'a': 0.3, 'e': 0.4459999999999995}",25,8,-64.74397007216635,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
555,False,"{'a': 0.3, 'e': 0.4449999999999995}",30,23,-9.385170572138726,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
556,False,"{'a': 0.3, 'e': 0.4439999999999995}",30,13,-76.66732778023332,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
557,False,"{'a': 0.3, 'e': 0.4429999999999995}",25,3,11.252879451861475,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
558,False,"{'a': 0.3, 'e': 0.4419999999999995}",30,11,-17.01148929942473,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
559,False,"{'a': 0.3, 'e': 0.4409999999999995}",20,9,-25.66876350358959,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
560,False,"{'a': 0.3, 'e': 0.4399999999999995}",20,6,17.308782321607644,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
561,False,"{'a': 0.3, 'e': 0.4389999999999995}",20,3,-43.385192683917566,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
562,False,"{'a': 0.3, 'e': 0.4379999999999995}",25,13,-42.442922927036115,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
563,False,"{'a': 0.3, 'e': 0.4369999999999995}",25,0,-36.31358943841365,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
564,False,"{'a': 0.3, 'e': 0.4359999999999995}",20,0,-48.271694034655134,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
565,False,"{'a': 0.3, 'e': 0.4349999999999995}",20,16,7.639767129668305,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
566,False,"{'a': 0.3, 'e': 0.4339999999999995}",20,10,-31.987227748596375,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
567,False,"{'a': 0.3, 'e': 0.4329999999999995}",30,12,14.158035304253293,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
568,False,"{'a': 0.3, 'e': 0.4319999999999995}",20,3,14.45201129067435,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
569,False,"{'a': 0.3, 'e': 0.4309999999999995}",20,5,-7.452630154329286,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
570,False,"{'a': 0.3, 'e': 0.4299999999999995}",25,12,15.834776578109638,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
571,False,"{'a': 0.3, 'e': 0.4289999999999995}",20,13,12.876002817231596,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
572,False,"{'a': 0.3, 'e': 0.4279999999999995}",20,0,-90.67755871337631,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
573,False,"{'a': 0.3, 'e': 0.4269999999999995}",20,0,-4.691684275876827,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
574,False,"{'a': 0.3, 'e': 0.4259999999999995}",20,11,2.6957299725243145,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
575,False,"{'a': 0.3, 'e': 0.4249999999999995}",20,7,-8.661614840903573,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
576,False,"{'a': 0.3, 'e': 0.4239999999999995}",25,0,-64.09528309852628,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
577,False,"{'a': 0.3, 'e': 0.4229999999999995}",20,7,3.0003820039687104,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
578,False,"{'a': 0.3, 'e': 0.4219999999999995}",20,0,-49.213729773423914,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
579,False,"{'a': 0.3, 'e': 0.4209999999999995}",30,2,-10.274646675495458,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 0}",1
580,False,"{'a': 0.3, 'e': 0.4199999999999995}",20,0,-35.86151817941348,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
581,False,"{'a': 0.3, 'e': 0.4189999999999995}",20,2,-15.615768708518795,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
582,False,"{'a': 0.3, 'e': 0.4179999999999995}",20,2,-17.3249974886142,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 0}",1
583,False,"{'a': 0.3, 'e': 0.4169999999999995}",20,8,-32.189204444965505,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
584,False,"{'a': 0.3, 'e': 0.4159999999999995}",25,11,-62.888959094416805,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
585,False,"{'a': 0.3, 'e': 0.4149999999999995}",25,1,-1.962759833607656,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 0}",1
586,False,"{'a': 0.3, 'e': 0.4139999999999995}",25,13,-8.356952503769875,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
587,False,"{'a': 0.3, 'e': 0.4129999999999995}",20,7,-43.83829946318738,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
588,False,"{'a': 0.3, 'e': 0.4119999999999995}",20,0,-106.76052079143254,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
589,False,"{'a': 0.3, 'e': 0.4109999999999995}",20,13,8.44195796723081,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
590,False,"{'a': 0.3, 'e': 0.4099999999999995}",30,11,7.05244279918837,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
591,False,"{'a': 0.3, 'e': 0.4089999999999995}",20,9,6.1285903764072245,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
592,False,"{'a': 0.3, 'e': 0.4079999999999995}",20,15,-11.162147918836041,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
593,False,"{'a': 0.3, 'e': 0.4069999999999995}",30,18,0.011957801971379745,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
594,False,"{'a': 0.3, 'e': 0.4059999999999995}",20,10,-28.5919477492793,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
595,False,"{'a': 0.3, 'e': 0.40499999999999947}",20,12,15.192048472103348,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
596,False,"{'a': 0.3, 'e': 0.40399999999999947}",20,12,-42.744685138896344,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
597,False,"{'a': 0.3, 'e': 0.40299999999999947}",20,1,5.375035230027863,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
598,False,"{'a': 0.3, 'e': 0.40199999999999947}",25,10,-8.401069355647014,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
599,False,"{'a': 0.3, 'e': 0.40099999999999947}",25,17,-32.217023264434935,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
600,False,"{'a': 0.3, 'e': 0.39999999999999947}",20,7,13.341577736338033,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
