trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.3, 'e': 0.6752092404367888}",35,0,-74.9662639360672,"{0: 26, 1: 3, 2: 5, 3: 0, 4: 1}",0
89,False,"{'a': 0.3, 'e': 0.6722025828338679}",35,11,-1.2874300117247883,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.3, 'e': 0.669209313658415}",20,0,-132.2130196355564,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
91,False,"{'a': 0.3, 'e': 0.6662293732927368}",20,3,-38.02783554957367,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
92,False,"{'a': 0.3, 'e': 0.6632627023846135}",25,0,-152.89775731927736,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
93,False,"{'a': 0.3, 'e': 0.6603092418461167}",20,0,-101.57456091895227,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
94,False,"{'a': 0.3, 'e': 0.6573689328524317}",20,0,-105.26482289505878,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
95,False,"{'a': 0.3, 'e': 0.6544417168406867}",20,0,-73.90970350070457,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
96,False,"{'a': 0.3, 'e': 0.6515275355087863}",25,1,8.56462718754732,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.3, 'e': 0.6486263308142496}",25,0,-67.68938620743698,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
98,False,"{'a': 0.3, 'e': 0.6457380449730551}",25,0,-109.85696192966118,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
99,False,"{'a': 0.3, 'e': 0.642862620458489}",30,0,-30.210749980702808,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
100,False,"{'a': 0.3, 'e': 0.6400000000000001}",25,0,-24.98622548302836,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
101,False,"{'a': 0.3, 'e': 0.6371501265820585}",25,0,-67.86679605340288,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
102,False,"{'a': 0.3, 'e': 0.6343129434430205}",20,0,-70.36439646791524,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
103,False,"{'a': 0.3, 'e': 0.6314883940739978}",20,0,-49.974133684140725,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
104,False,"{'a': 0.3, 'e': 0.628676422217732}",25,0,-113.85091498178505,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
105,False,"{'a': 0.3, 'e': 0.6258769718674743}",20,0,2.327866203924816,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.3, 'e': 0.6230899872658698}",25,0,-102.5546919973815,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
107,False,"{'a': 0.3, 'e': 0.6203154129038471}",20,5,9.071783189725526,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.3, 'e': 0.6175531935195124}",30,0,-162.95036205044883,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
109,False,"{'a': 0.3, 'e': 0.6148032740970497}",20,3,-21.158595250214532,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
110,False,"{'a': 0.3, 'e': 0.6120655998656237}",25,0,-101.49479491424097,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
111,False,"{'a': 0.3, 'e': 0.6093401162982901}",20,0,-41.002974167250066,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
112,False,"{'a': 0.3, 'e': 0.606626769110909}",20,10,-6.457858899352603,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
